# ************************************
# University of Crete
# Computer Science Department
# 
# CS240 - Data Structures
# Project - Phase II test file
# 
# Events:    Number:
#   R         10
#   S         2
#   T         100
#   U         1
#   D         1
#   H         1
#   L         1
#   X         3
#   Y         2
# 
# Created on: 1/4/2018, 21:24:35
# ************************************
Z 100
R 406
R 713
R 909
R 690
R 718
R 902
R 428
R 876
R 287
R 173
X
S 287 406
S 287 718
T 406 4719 20180412 
T 406 5865 20180415 
T 406 2451 20180423 
T 406 4225 20180401 
T 406 8561 20180415 
T 406 3066 20180423 
T 406 3123 20180425 
T 406 4714 20180418 
T 406 5105 20180410 
T 406 3096 20180405 
T 713 2839 20180419 
T 713 1051 20180413 
T 713 7111 20180412 
T 713 7556 20180417 
T 713 4387 20180419 
T 713 1088 20180425 
T 713 9669 20180418 
T 713 3437 20180404 
T 713 3586 20180420 
T 713 2354 20180404 
T 909 1871 20180412 
T 909 8667 20180411 
T 909 2396 20180409 
T 909 9182 20180419 
T 909 6191 20180405 
T 909 7789 20180425 
T 909 7659 20180424 
T 909 2742 20180413 
T 909 2183 20180429 
T 909 9620 20180416 
T 690 5720 20180430 
T 690 3678 20180416 
T 690 5662 20180418 
T 690 6510 20180425 
T 690 2777 20180424 
T 690 9397 20180410 
T 690 2286 20180425 
T 690 6645 20180410 
T 690 1446 20180417 
T 690 9184 20180420 
T 718 7107 20180421 
T 718 4668 20180413 
T 718 4813 20180419 
T 718 8536 20180418 
T 718 5709 20180425 
T 718 1568 20180402 
T 718 7865 20180412 
T 718 5820 20180409 
T 718 9362 20180405 
T 718 1776 20180404 
T 902 9196 20180401 
T 902 4789 20180402 
T 902 8238 20180402 
T 902 4165 20180427 
T 902 6263 20180409 
T 902 5323 20180409 
T 902 9322 20180428 
T 902 7136 20180411 
T 902 5401 20180417 
T 902 9133 20180401 
T 428 3830 20180430 
T 428 1541 20180403 
T 428 3948 20180419 
T 428 4223 20180408 
T 428 7693 20180414 
T 428 4451 20180421 
T 428 5174 20180425 
T 428 7372 20180409 
T 428 8675 20180402 
T 428 2098 20180414 
T 876 3886 20180419 
T 876 7308 20180408 
T 876 5413 20180412 
T 876 6345 20180431 
T 876 9118 20180416 
T 876 9926 20180407 
T 876 5181 20180402 
T 876 3644 20180425 
T 876 6829 20180421 
T 876 1441 20180413 
T 287 1868 20180414 
T 287 1412 20180418 
T 287 3133 20180424 
T 287 8455 20180403 
T 287 8322 20180430 
T 287 5748 20180405 
T 287 5975 20180408 
T 287 4418 20180402 
T 287 6502 20180431 
T 287 1203 20180416 
T 173 5243 20180401 
T 173 7569 20180430 
T 173 1597 20180401 
T 173 7426 20180421 
T 173 7997 20180404 
T 173 7951 20180407 
T 173 2361 20180411 
T 173 5024 20180429 
T 173 2449 20180417 
T 173 7468 20180404 
Y
U 287 718
D 690
X
H 876 20180419 20180425
L 7308
X
Y
