# ************************************
# University of Crete
# Computer Science Department
# 
# CS240 - Data Structures
# Project - Phase II test file
# 
# Events:    Number:
#   R         20
#   S         5
#   T         500
#   U         2
#   D         2
#   H         1
#   L         1
#   X         3
#   Y         2
# 
# Created on: 1/4/2018, 21:25:13
# ************************************
Z 500
R 965
R 442
R 462
R 391
R 264
R 358
R 178
R 619
R 839
R 372
R 306
R 526
R 203
R 530
R 605
R 949
R 920
R 453
R 675
R 478
X
S 178 442
S 203 526
S 530 605
S 391 949
S 264 920
T 965 7572 20180419 
T 965 3241 20180402 
T 965 8029 20180417 
T 965 2269 20180412 
T 965 4219 20180414 
T 965 6293 20180426 
T 965 6034 20180403 
T 965 4541 20180416 
T 965 8985 20180410 
T 965 9065 20180417 
T 965 7534 20180407 
T 965 6433 20180412 
T 965 8100 20180410 
T 965 1732 20180430 
T 965 1611 20180410 
T 965 8276 20180425 
T 965 9071 20180402 
T 965 8668 20180422 
T 965 6344 20180431 
T 965 1326 20180430 
T 965 4936 20180420 
T 965 8048 20180431 
T 965 7214 20180406 
T 965 5500 20180418 
T 965 5335 20180413 
T 442 1944 20180407 
T 442 6432 20180422 
T 442 6168 20180413 
T 442 1068 20180421 
T 442 4197 20180403 
T 442 9590 20180406 
T 442 8864 20180427 
T 442 2991 20180423 
T 442 5763 20180426 
T 442 7470 20180418 
T 442 7900 20180405 
T 442 2710 20180418 
T 442 2379 20180428 
T 442 7539 20180421 
T 442 5125 20180407 
T 442 1446 20180418 
T 442 4744 20180421 
T 442 3447 20180431 
T 442 1411 20180409 
T 442 6814 20180413 
T 442 4196 20180419 
T 442 6083 20180408 
T 442 5067 20180425 
T 442 9593 20180431 
T 442 6411 20180421 
T 462 5921 20180412 
T 462 8471 20180423 
T 462 9260 20180431 
T 462 6557 20180420 
T 462 6730 20180403 
T 462 8674 20180422 
T 462 6753 20180409 
T 462 4055 20180429 
T 462 3332 20180412 
T 462 2717 20180429 
T 462 8077 20180417 
T 462 5552 20180411 
T 462 7974 20180430 
T 462 2236 20180423 
T 462 9450 20180423 
T 462 4631 20180416 
T 462 1960 20180408 
